cell,block,fingerprint,cachedValue,dependencySheets,classificationReasons,formula,normalizedFormula
I10,JOIN,d3047106ad6537f6197c,0,PILE_POINTS,INDEX | MATCH,"IF($A10="""","""",INDEX(PILE_POINTS!$E$2:$E$100,MATCH($A10,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C5:R100C5,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
J10,UNCLASSIFIED,d62ca1d498d29761e5d7,800,,,"IF($A10="""","""",IF(G10=""COMPRESSION"",H10,I10))","IF(RC1="""","""",IF(RC[-3]=""COMPRESSION"",RC[-2],RC[-1]))"
K10,ACTION,dc65032a1ccf15c13650,0.625,,ABS,"IF($A10="""","""",IF(G10=""COMPRESSION"",F10/H10,IF(I10>0,ABS(F10)/I10,NA())))","IF(RC1="""","""",IF(RC[-4]=""COMPRESSION"",RC[-5]/RC[-3],IF(RC[-2]>0,ABS(RC[-5])/RC[-2],NA())))"
L10,STATUS,140ce0b4c72278660359,PASS,,"""BLOCK"" | ""FAIL"" | ""PASS""","IF($A10="""","""",IF(G10=""COMPRESSION"",IF(K10<=1,""PASS"",""FAIL""),IF(I10<=0,""BLOCK"",IF(K10<=1,""PASS"",""FAIL""))))","IF(RC1="""","""",IF(RC[-5]=""COMPRESSION"",IF(RC[-1]<=1,""PASS"",""FAIL""),IF(RC[-3]<=0,""BLOCK"",IF(RC[-1]<=1,""PASS"",""FAIL""))))"
M10,JOIN,359df7197ac13ee55762,HK1,PILE_POINTS,INDEX | MATCH,"IF($A10="""","""",INDEX(PILE_POINTS!$F$2:$F$100,MATCH($A10,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C6:R100C6,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
N10,JOIN,016a6c2b2e13027efaca,SPT,PILE_POINTS,INDEX | MATCH,"IF($A10="""","""",INDEX(PILE_POINTS!$G$2:$G$100,MATCH($A10,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C7:R100C7,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
Q10,STATUS,9e6f2b2330ec473b0f66,PASS,,"""PASS""","IF(AND(Q8=""NO"",Q9=""NO""),""PASS"",""FAIL/BLOCK"")","IF(AND(R[-2]C=""NO"",R[-1]C=""NO""),""PASS"",""FAIL/BLOCK"")"
A11,UNCLASSIFIED,3458cdb72f8aa89671ec,P3,SPRING_ASSIGNMENTS,,"IF(SPRING_ASSIGNMENTS!B4="""","""",SPRING_ASSIGNMENTS!B4)","IF('SPRING_ASSIGNMENTS'!R[-7]C[+1]="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[+1])"
B11,UNCLASSIFIED,ab00340190f9c2966476,N3,SPRING_ASSIGNMENTS,,"IF($A11="""","""",SPRING_ASSIGNMENTS!A4)","IF(RC1="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[-1])"
C11,JOIN,e811b46f854c157abcc9,-1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B11="""","""",INDEX(POINT_COORDINATES!$B$2:$B$100,MATCH($B11,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C2:R100C2,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
D11,JOIN,8fb2d508d5a330f9562f,1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B11="""","""",INDEX(POINT_COORDINATES!$C$2:$C$100,MATCH($B11,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C3:R100C3,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
E11,JOIN,619756a00b92a04a3ed4,-600,IMPORTED_NODAL,FS | SUMIFS,"IF($B11="""","""",SUMIFS(IMPORTED_NODAL!$E$2:$E$200,IMPORTED_NODAL!$A$2:$A$200,$B11,IMPORTED_NODAL!$B$2:$B$200,$B$3))","IF(RC2="""","""",SUMIFS('IMPORTED_NODAL'!R2C5:R200C5,'IMPORTED_NODAL'!R2C1:R200C1,RC2,'IMPORTED_NODAL'!R2C2:R200C2,R3C2))"
F11,UNCLASSIFIED,936cac9a550fed60f943,600,,,"IF($A11="""","""",IF($B$4=""compression-negative"",-E11,E11))","IF(RC1="""","""",IF(R4C2=""COMPRESSION-NEGATIVE"",-RC[-1],RC[-1]))"
G11,UNCLASSIFIED,78f81eaf9b5db2aed525,COMPRESSION,,,"IF($A11="""","""",IF(F11>=0,""COMPRESSION"",""TENSION""))","IF(RC1="""","""",IF(RC[-1]>=0,""COMPRESSION"",""TENSION""))"
H11,JOIN,6990db21c36e8e4d3f5a,800,PILE_POINTS,INDEX | MATCH,"IF($A11="""","""",INDEX(PILE_POINTS!$D$2:$D$100,MATCH($A11,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C4:R100C4,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
I11,JOIN,d3047106ad6537f6197c,0,PILE_POINTS,INDEX | MATCH,"IF($A11="""","""",INDEX(PILE_POINTS!$E$2:$E$100,MATCH($A11,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C5:R100C5,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
J11,UNCLASSIFIED,d62ca1d498d29761e5d7,800,,,"IF($A11="""","""",IF(G11=""COMPRESSION"",H11,I11))","IF(RC1="""","""",IF(RC[-3]=""COMPRESSION"",RC[-2],RC[-1]))"
K11,ACTION,dc65032a1ccf15c13650,0.75,,ABS,"IF($A11="""","""",IF(G11=""COMPRESSION"",F11/H11,IF(I11>0,ABS(F11)/I11,NA())))","IF(RC1="""","""",IF(RC[-4]=""COMPRESSION"",RC[-5]/RC[-3],IF(RC[-2]>0,ABS(RC[-5])/RC[-2],NA())))"
L11,STATUS,140ce0b4c72278660359,PASS,,"""BLOCK"" | ""FAIL"" | ""PASS""","IF($A11="""","""",IF(G11=""COMPRESSION"",IF(K11<=1,""PASS"",""FAIL""),IF(I11<=0,""BLOCK"",IF(K11<=1,""PASS"",""FAIL""))))","IF(RC1="""","""",IF(RC[-5]=""COMPRESSION"",IF(RC[-1]<=1,""PASS"",""FAIL""),IF(RC[-3]<=0,""BLOCK"",IF(RC[-1]<=1,""PASS"",""FAIL""))))"
M11,JOIN,359df7197ac13ee55762,HK2,PILE_POINTS,INDEX | MATCH,"IF($A11="""","""",INDEX(PILE_POINTS!$F$2:$F$100,MATCH($A11,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C6:R100C6,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
N11,JOIN,016a6c2b2e13027efaca,MECH,PILE_POINTS,INDEX | MATCH,"IF($A11="""","""",INDEX(PILE_POINTS!$G$2:$G$100,MATCH($A11,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C7:R100C7,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
A12,UNCLASSIFIED,3458cdb72f8aa89671ec,P4,SPRING_ASSIGNMENTS,,"IF(SPRING_ASSIGNMENTS!B5="""","""",SPRING_ASSIGNMENTS!B5)","IF('SPRING_ASSIGNMENTS'!R[-7]C[+1]="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[+1])"
B12,UNCLASSIFIED,ab00340190f9c2966476,N4,SPRING_ASSIGNMENTS,,"IF($A12="""","""",SPRING_ASSIGNMENTS!A5)","IF(RC1="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[-1])"
C12,JOIN,e811b46f854c157abcc9,1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B12="""","""",INDEX(POINT_COORDINATES!$B$2:$B$100,MATCH($B12,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C2:R100C2,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
D12,JOIN,8fb2d508d5a330f9562f,1,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B12="""","""",INDEX(POINT_COORDINATES!$C$2:$C$100,MATCH($B12,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C3:R100C3,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
E12,JOIN,619756a00b92a04a3ed4,-700,IMPORTED_NODAL,FS | SUMIFS,"IF($B12="""","""",SUMIFS(IMPORTED_NODAL!$E$2:$E$200,IMPORTED_NODAL!$A$2:$A$200,$B12,IMPORTED_NODAL!$B$2:$B$200,$B$3))","IF(RC2="""","""",SUMIFS('IMPORTED_NODAL'!R2C5:R200C5,'IMPORTED_NODAL'!R2C1:R200C1,RC2,'IMPORTED_NODAL'!R2C2:R200C2,R3C2))"
F12,UNCLASSIFIED,936cac9a550fed60f943,700,,,"IF($A12="""","""",IF($B$4=""compression-negative"",-E12,E12))","IF(RC1="""","""",IF(R4C2=""COMPRESSION-NEGATIVE"",-RC[-1],RC[-1]))"
G12,UNCLASSIFIED,78f81eaf9b5db2aed525,COMPRESSION,,,"IF($A12="""","""",IF(F12>=0,""COMPRESSION"",""TENSION""))","IF(RC1="""","""",IF(RC[-1]>=0,""COMPRESSION"",""TENSION""))"
H12,JOIN,6990db21c36e8e4d3f5a,800,PILE_POINTS,INDEX | MATCH,"IF($A12="""","""",INDEX(PILE_POINTS!$D$2:$D$100,MATCH($A12,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C4:R100C4,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
I12,JOIN,d3047106ad6537f6197c,0,PILE_POINTS,INDEX | MATCH,"IF($A12="""","""",INDEX(PILE_POINTS!$E$2:$E$100,MATCH($A12,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C5:R100C5,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
J12,UNCLASSIFIED,d62ca1d498d29761e5d7,800,,,"IF($A12="""","""",IF(G12=""COMPRESSION"",H12,I12))","IF(RC1="""","""",IF(RC[-3]=""COMPRESSION"",RC[-2],RC[-1]))"
K12,ACTION,dc65032a1ccf15c13650,0.875,,ABS,"IF($A12="""","""",IF(G12=""COMPRESSION"",F12/H12,IF(I12>0,ABS(F12)/I12,NA())))","IF(RC1="""","""",IF(RC[-4]=""COMPRESSION"",RC[-5]/RC[-3],IF(RC[-2]>0,ABS(RC[-5])/RC[-2],NA())))"
L12,STATUS,140ce0b4c72278660359,PASS,,"""BLOCK"" | ""FAIL"" | ""PASS""","IF($A12="""","""",IF(G12=""COMPRESSION"",IF(K12<=1,""PASS"",""FAIL""),IF(I12<=0,""BLOCK"",IF(K12<=1,""PASS"",""FAIL""))))","IF(RC1="""","""",IF(RC[-5]=""COMPRESSION"",IF(RC[-1]<=1,""PASS"",""FAIL""),IF(RC[-3]<=0,""BLOCK"",IF(RC[-1]<=1,""PASS"",""FAIL""))))"
M12,JOIN,359df7197ac13ee55762,HK2,PILE_POINTS,INDEX | MATCH,"IF($A12="""","""",INDEX(PILE_POINTS!$F$2:$F$100,MATCH($A12,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C6:R100C6,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
N12,JOIN,016a6c2b2e13027efaca,MECH,PILE_POINTS,INDEX | MATCH,"IF($A12="""","""",INDEX(PILE_POINTS!$G$2:$G$100,MATCH($A12,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C7:R100C7,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
A13,UNCLASSIFIED,3458cdb72f8aa89671ec,,SPRING_ASSIGNMENTS,,"IF(SPRING_ASSIGNMENTS!B6="""","""",SPRING_ASSIGNMENTS!B6)","IF('SPRING_ASSIGNMENTS'!R[-7]C[+1]="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[+1])"
B13,UNCLASSIFIED,ab00340190f9c2966476,,SPRING_ASSIGNMENTS,,"IF($A13="""","""",SPRING_ASSIGNMENTS!A6)","IF(RC1="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[-1])"
C13,JOIN,e811b46f854c157abcc9,,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B13="""","""",INDEX(POINT_COORDINATES!$B$2:$B$100,MATCH($B13,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C2:R100C2,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
D13,JOIN,8fb2d508d5a330f9562f,,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B13="""","""",INDEX(POINT_COORDINATES!$C$2:$C$100,MATCH($B13,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C3:R100C3,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
E13,JOIN,619756a00b92a04a3ed4,,IMPORTED_NODAL,FS | SUMIFS,"IF($B13="""","""",SUMIFS(IMPORTED_NODAL!$E$2:$E$200,IMPORTED_NODAL!$A$2:$A$200,$B13,IMPORTED_NODAL!$B$2:$B$200,$B$3))","IF(RC2="""","""",SUMIFS('IMPORTED_NODAL'!R2C5:R200C5,'IMPORTED_NODAL'!R2C1:R200C1,RC2,'IMPORTED_NODAL'!R2C2:R200C2,R3C2))"
F13,UNCLASSIFIED,936cac9a550fed60f943,,,,"IF($A13="""","""",IF($B$4=""compression-negative"",-E13,E13))","IF(RC1="""","""",IF(R4C2=""COMPRESSION-NEGATIVE"",-RC[-1],RC[-1]))"
G13,UNCLASSIFIED,78f81eaf9b5db2aed525,,,,"IF($A13="""","""",IF(F13>=0,""COMPRESSION"",""TENSION""))","IF(RC1="""","""",IF(RC[-1]>=0,""COMPRESSION"",""TENSION""))"
H13,JOIN,6990db21c36e8e4d3f5a,,PILE_POINTS,INDEX | MATCH,"IF($A13="""","""",INDEX(PILE_POINTS!$D$2:$D$100,MATCH($A13,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C4:R100C4,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
I13,JOIN,d3047106ad6537f6197c,,PILE_POINTS,INDEX | MATCH,"IF($A13="""","""",INDEX(PILE_POINTS!$E$2:$E$100,MATCH($A13,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C5:R100C5,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
J13,UNCLASSIFIED,d62ca1d498d29761e5d7,,,,"IF($A13="""","""",IF(G13=""COMPRESSION"",H13,I13))","IF(RC1="""","""",IF(RC[-3]=""COMPRESSION"",RC[-2],RC[-1]))"
K13,ACTION,dc65032a1ccf15c13650,,,ABS,"IF($A13="""","""",IF(G13=""COMPRESSION"",F13/H13,IF(I13>0,ABS(F13)/I13,NA())))","IF(RC1="""","""",IF(RC[-4]=""COMPRESSION"",RC[-5]/RC[-3],IF(RC[-2]>0,ABS(RC[-5])/RC[-2],NA())))"
L13,STATUS,140ce0b4c72278660359,,,"""BLOCK"" | ""FAIL"" | ""PASS""","IF($A13="""","""",IF(G13=""COMPRESSION"",IF(K13<=1,""PASS"",""FAIL""),IF(I13<=0,""BLOCK"",IF(K13<=1,""PASS"",""FAIL""))))","IF(RC1="""","""",IF(RC[-5]=""COMPRESSION"",IF(RC[-1]<=1,""PASS"",""FAIL""),IF(RC[-3]<=0,""BLOCK"",IF(RC[-1]<=1,""PASS"",""FAIL""))))"
M13,JOIN,359df7197ac13ee55762,,PILE_POINTS,INDEX | MATCH,"IF($A13="""","""",INDEX(PILE_POINTS!$F$2:$F$100,MATCH($A13,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C6:R100C6,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
N13,JOIN,016a6c2b2e13027efaca,,PILE_POINTS,INDEX | MATCH,"IF($A13="""","""",INDEX(PILE_POINTS!$G$2:$G$100,MATCH($A13,PILE_POINTS!$A$2:$A$100,0)))","IF(RC1="""","""",INDEX('PILE_POINTS'!R2C7:R100C7,MATCH(RC1,'PILE_POINTS'!R2C1:R100C1,0)))"
A14,UNCLASSIFIED,3458cdb72f8aa89671ec,,SPRING_ASSIGNMENTS,,"IF(SPRING_ASSIGNMENTS!B7="""","""",SPRING_ASSIGNMENTS!B7)","IF('SPRING_ASSIGNMENTS'!R[-7]C[+1]="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[+1])"
B14,UNCLASSIFIED,ab00340190f9c2966476,,SPRING_ASSIGNMENTS,,"IF($A14="""","""",SPRING_ASSIGNMENTS!A7)","IF(RC1="""","""",'SPRING_ASSIGNMENTS'!R[-7]C[-1])"
C14,JOIN,e811b46f854c157abcc9,,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B14="""","""",INDEX(POINT_COORDINATES!$B$2:$B$100,MATCH($B14,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C2:R100C2,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
D14,JOIN,8fb2d508d5a330f9562f,,POINT_COORDINATES,INDEX | MATCH | RD,"IF($B14="""","""",INDEX(POINT_COORDINATES!$C$2:$C$100,MATCH($B14,POINT_COORDINATES!$A$2:$A$100,0)))","IF(RC2="""","""",INDEX('POINT_COORDINATES'!R2C3:R100C3,MATCH(RC2,'POINT_COORDINATES'!R2C1:R100C1,0)))"
E14,JOIN,619756a00b92a04a3ed4,,IMPORTED_NODAL,FS | SUMIFS,"IF($B14="""","""",SUMIFS(IMPORTED_NODAL!$E$2:$E$200,IMPORTED_NODAL!$A$2:$A$200,$B14,IMPORTED_NODAL!$B$2:$B$200,$B$3))","IF(RC2="""","""",SUMIFS('IMPORTED_NODAL'!R2C5:R200C5,'IMPORTED_NODAL'!R2C1:R200C1,RC2,'IMPORTED_NODAL'!R2C2:R200C2,R3C2))"
F14,UNCLASSIFIED,936cac9a550fed60f943,,,,"IF($A14="""","""",IF($B$4=""compression-negative"",-E14,E14))","IF(RC1="""","""",IF(R4C2=""COMPRESSION-NEGATIVE"",-RC[-1],RC[-1]))"
G14,UNCLASSIFIED,78f81eaf9b5db2aed525,,,,"IF($A14="""","""",IF(F14>=0,""COMPRESSION"",""TENSION""))","IF(RC1="""","""",IF(RC[-1]>=0,""COMPRESSION"",""TENSION""))"
