cell,block,fingerprint,cachedValue,dependencySheets,classificationReasons,formula,normalizedFormula
L20,UTILIZATION,668b1c1dbfcf6df7c7f2,1.0607413680969937,,,"IFERROR(K20/F20,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M20,STATUS,cc605bcd1178ce4c0905,OK,,"""OK""","IF(L20<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N20,JOIN,df342480cfd1e9f94067,1849.9999999999998,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C20,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O20,JOIN,49309262070579ea9998,4960,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C20,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V20,UTILIZATION,b070dbb90878a1f60ba9,0,,,"IFERROR(IF(AND(1/L20>$V$19,1/L20<=$W$19),1/L20,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W20,UTILIZATION,de0a5dbfc5cc172602ba,0,,,"IFERROR(IF(AND(1/L20>$W$19,1/L20<=$X$19),1/L20,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X20,UTILIZATION,102bfd8013f27758e7c0,0.94273687260263472,,,"IFERROR(IF(AND(1/L20>$X$19,1/L20<=$Y$19),1/L20,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y20,UTILIZATION,2d4c8f3ea18940579bdf,0,,,"IFERROR(IF(1/L20>$Y$19,1/L20,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z20,UTILIZATION,28ac2bdd4846fc6e2a7f,1.3699999999999997,,,"IF(N20<>"""",(N20-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA20,UTILIZATION,1aafe524f4bc30e7637c,4.4800000000000004,,,"IF(O20<>"""",(O20-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A21,JOIN,5ea8e873f07aa89e502e,1,,VLOOKUP,"VLOOKUP(B21,Q:U,5,0)","VLOOKUP(RC[+1],Q:U,5,0)"
D21,JOIN,f5205744725a2f66161f,C250,,VLOOKUP,"VLOOKUP(B21,Q:U,2,0)","VLOOKUP(RC[-2],Q:U,2,0)"
H21,JOIN,34eab90c394d3c1042b9,250,,VLOOKUP,"VLOOKUP(B21,Q:U,3,0)","VLOOKUP(RC[-6],Q:U,3,0)"
I21,JOIN,316a886ee18efca0c3ce,350,,VLOOKUP,"VLOOKUP(B21,Q:U,4,0)","VLOOKUP(RC[-7],Q:U,4,0)"
J21,UNCLASSIFIED,f7cb8b3574809d50071f,Đài 1 cọc,,,"NhomCoc(A21,$A$1,$A$2)","NHOMCOC(RC[-9],R1C1,R2C1)"
K21,UTILIZATION,8c7575893a40f2d6662a,304.34782608695656,,,I21/$H$10,RC[-2]/R10C8
L21,UTILIZATION,668b1c1dbfcf6df7c7f2,1.1664061660740719,,,"IFERROR(K21/F21,"""")","IFERROR(RC[-1]/RC[-6],"""")"
M21,STATUS,cc605bcd1178ce4c0905,OK,,"""OK""","IF(L21<1, ""NOT OK"",""OK"")","IF(RC[-1]<1,""NOTOK"",""OK"")"
N21,JOIN,df342480cfd1e9f94067,1680,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C21,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O21,JOIN,49309262070579ea9998,4030.0000000000005,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C21,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V21,UTILIZATION,b070dbb90878a1f60ba9,0,,,"IFERROR(IF(AND(1/L21>$V$19,1/L21<=$W$19),1/L21,0),"""")","IFERROR(IF(AND(1/RC[-10]>R19C22,1/RC[-10]<=R19C23),1/RC[-10],0),"""")"
W21,UTILIZATION,de0a5dbfc5cc172602ba,0,,,"IFERROR(IF(AND(1/L21>$W$19,1/L21<=$X$19),1/L21,0),"""")","IFERROR(IF(AND(1/RC[-11]>R19C23,1/RC[-11]<=R19C24),1/RC[-11],0),"""")"
X21,UTILIZATION,102bfd8013f27758e7c0,0.85733428807722512,,,"IFERROR(IF(AND(1/L21>$X$19,1/L21<=$Y$19),1/L21,0),"""")","IFERROR(IF(AND(1/RC[-12]>R19C24,1/RC[-12]<=R19C25),1/RC[-12],0),"""")"
Y21,UTILIZATION,2d4c8f3ea18940579bdf,0,,,"IFERROR(IF(1/L21>$Y$19,1/L21,0),"""")","IFERROR(IF(1/RC[-13]>R19C25,1/RC[-13],0),"""")"
Z21,UTILIZATION,28ac2bdd4846fc6e2a7f,1.2,,,"IF(N21<>"""",(N21-$N$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C14)/1000,1/0)"
AA21,UTILIZATION,1aafe524f4bc30e7637c,3.5500000000000003,,,"IF(O21<>"""",(O21-$O$17)/1000,1/0)","IF(RC[-12]<>"""",(RC[-12]-R17C15)/1000,1/0)"
A22,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D22,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H22,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I22,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J22,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K22,UTILIZATION,8c7575893a40f2d6662a,304.34782608695656,,,I22/$H$10,RC[-2]/R10C8
L22,UNCLASSIFIED,e3b0c44298fc1c149afb,1.123496236268215,,,,
M22,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N22,JOIN,df342480cfd1e9f94067,750,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C22,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O22,JOIN,49309262070579ea9998,4030.0000000000005,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C22,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V22,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W22,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X22,UNCLASSIFIED,e3b0c44298fc1c149afb,0.89007863819960986,,,,
Y22,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z22,UNCLASSIFIED,e3b0c44298fc1c149afb,0.27,,,,
AA22,UNCLASSIFIED,e3b0c44298fc1c149afb,3.5500000000000003,,,,
A23,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D23,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H23,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I23,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J23,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K23,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L23,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0674435480436297,,,,
M23,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N23,JOIN,df342480cfd1e9f94067,750,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C23,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O23,JOIN,49309262070579ea9998,4960,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C23,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V23,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W23,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X23,UNCLASSIFIED,e3b0c44298fc1c149afb,0.93681769104582835,,,,
Y23,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z23,UNCLASSIFIED,e3b0c44298fc1c149afb,0.27,,,,
AA23,UNCLASSIFIED,e3b0c44298fc1c149afb,4.4800000000000004,,,,
A24,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D24,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H24,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I24,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J24,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K24,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L24,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0230663691581616,,,,
M24,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N24,JOIN,df342480cfd1e9f94067,3330,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C24,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O24,JOIN,49309262070579ea9998,5390,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C24,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V24,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W24,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X24,UNCLASSIFIED,e3b0c44298fc1c149afb,0.97745369229843615,,,,
Y24,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z24,UNCLASSIFIED,e3b0c44298fc1c149afb,2.85,,,,
AA24,UNCLASSIFIED,e3b0c44298fc1c149afb,4.91,,,,
A25,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D25,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H25,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I25,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J25,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K25,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L25,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0133522227677607,,,,
M25,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N25,JOIN,df342480cfd1e9f94067,4070.0000000000005,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C25,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O25,JOIN,49309262070579ea9998,5480,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C25,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V25,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W25,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X25,UNCLASSIFIED,e3b0c44298fc1c149afb,0.98682370999168301,,,,
Y25,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z25,UNCLASSIFIED,e3b0c44298fc1c149afb,3.5900000000000003,,,,
AA25,UNCLASSIFIED,e3b0c44298fc1c149afb,5,,,,
A26,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D26,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H26,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I26,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J26,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K26,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L26,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0143387154043619,,,,
M26,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N26,JOIN,df342480cfd1e9f94067,4810,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C26,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O26,JOIN,49309262070579ea9998,5570,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C26,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V26,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W26,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X26,UNCLASSIFIED,e3b0c44298fc1c149afb,0.98586397700629436,,,,
Y26,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z26,UNCLASSIFIED,e3b0c44298fc1c149afb,4.33,,,,
AA26,UNCLASSIFIED,e3b0c44298fc1c149afb,5.09,,,,
A27,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D27,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H27,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I27,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J27,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K27,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L27,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0030787798888288,,,,
M27,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N27,JOIN,df342480cfd1e9f94067,7190,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C27,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O27,JOIN,49309262070579ea9998,5720,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C27,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V27,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W27,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X27,UNCLASSIFIED,e3b0c44298fc1c149afb,0.99693066990294621,,,,
Y27,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z27,UNCLASSIFIED,e3b0c44298fc1c149afb,6.71,,,,
AA27,UNCLASSIFIED,e3b0c44298fc1c149afb,5.24,,,,
A28,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D28,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H28,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I28,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J28,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K28,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L28,UNCLASSIFIED,e3b0c44298fc1c149afb,0.8856609931805608,,,,
M28,UNCLASSIFIED,e3b0c44298fc1c149afb,NOT OK,,,,
N28,JOIN,df342480cfd1e9f94067,7930,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C28,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O28,JOIN,49309262070579ea9998,5810,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C28,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V28,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W28,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X28,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Y28,UNCLASSIFIED,e3b0c44298fc1c149afb,1.1291001948825004,,,,
Z28,UNCLASSIFIED,e3b0c44298fc1c149afb,7.45,,,,
AA28,UNCLASSIFIED,e3b0c44298fc1c149afb,5.33,,,,
A29,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D29,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H29,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I29,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J29,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K29,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L29,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0860732503942854,,,,
M29,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N29,JOIN,df342480cfd1e9f94067,8200,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C29,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O29,JOIN,49309262070579ea9998,5110,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C29,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V29,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W29,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X29,UNCLASSIFIED,e3b0c44298fc1c149afb,0.92074820886801367,,,,
Y29,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z29,UNCLASSIFIED,e3b0c44298fc1c149afb,7.72,,,,
AA29,UNCLASSIFIED,e3b0c44298fc1c149afb,4.63,,,,
A30,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D30,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H30,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I30,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J30,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K30,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L30,UNCLASSIFIED,e3b0c44298fc1c149afb,0.97891953861723702,,,,
M30,UNCLASSIFIED,e3b0c44298fc1c149afb,NOT OK,,,,
N30,JOIN,df342480cfd1e9f94067,6900,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C30,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O30,JOIN,49309262070579ea9998,460,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C30,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V30,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W30,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X30,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Y30,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0215344168250435,,,,
Z30,UNCLASSIFIED,e3b0c44298fc1c149afb,6.42,,,,
AA30,UNCLASSIFIED,e3b0c44298fc1c149afb,-0.02,,,,
A31,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D31,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H31,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I31,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J31,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K31,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L31,UNCLASSIFIED,e3b0c44298fc1c149afb,0.83316301436961882,,,,
M31,UNCLASSIFIED,e3b0c44298fc1c149afb,NOT OK,,,,
N31,JOIN,df342480cfd1e9f94067,7650,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C31,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O31,JOIN,49309262070579ea9998,460,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C31,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V31,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W31,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X31,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Y31,UNCLASSIFIED,e3b0c44298fc1c149afb,1.2002453094447694,,,,
Z31,UNCLASSIFIED,e3b0c44298fc1c149afb,7.17,,,,
AA31,UNCLASSIFIED,e3b0c44298fc1c149afb,-0.02,,,,
A32,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D32,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H32,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I32,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J32,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K32,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L32,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0475918297598255,,,,
M32,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N32,JOIN,df342480cfd1e9f94067,7650,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C32,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O32,JOIN,49309262070579ea9998,1100,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C32,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V32,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W32,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X32,UNCLASSIFIED,e3b0c44298fc1c149afb,0.95457025493341574,,,,
Y32,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z32,UNCLASSIFIED,e3b0c44298fc1c149afb,7.17,,,,
AA32,UNCLASSIFIED,e3b0c44298fc1c149afb,0.62,,,,
A33,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D33,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H33,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I33,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J33,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K33,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L33,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0643408983478511,,,,
M33,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N33,JOIN,df342480cfd1e9f94067,4820,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C33,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O33,JOIN,49309262070579ea9998,490,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C33,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V33,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W33,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X33,UNCLASSIFIED,e3b0c44298fc1c149afb,0.93954859909289801,,,,
Y33,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
Z33,UNCLASSIFIED,e3b0c44298fc1c149afb,4.34,,,,
AA33,UNCLASSIFIED,e3b0c44298fc1c149afb,0.01,,,,
A34,UNCLASSIFIED,e3b0c44298fc1c149afb,1,,,,
D34,UNCLASSIFIED,e3b0c44298fc1c149afb,C250,,,,
H34,UNCLASSIFIED,e3b0c44298fc1c149afb,250,,,,
I34,UNCLASSIFIED,e3b0c44298fc1c149afb,350,,,,
J34,UNCLASSIFIED,e3b0c44298fc1c149afb,Đài 1 cọc,,,,
K34,UNCLASSIFIED,e3b0c44298fc1c149afb,304.34782608695656,,,,
L34,UNCLASSIFIED,e3b0c44298fc1c149afb,1.0649693699720089,,,,
M34,UNCLASSIFIED,e3b0c44298fc1c149afb,OK,,,,
N34,JOIN,df342480cfd1e9f94067,4070.0000000000005,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C34,'Point Coordinates'!$A:$D,2,0)*1000","VLOOKUP(RC[-11],'POINTCOORDINATES'!$A:$D,2,0)*1000"
O34,JOIN,49309262070579ea9998,490,Point Coordinates,POINT COORDINATES | RD | VLOOKUP,"VLOOKUP(C34,'Point Coordinates'!$A:$D,3,0)*1000","VLOOKUP(RC[-12],'POINTCOORDINATES'!$A:$D,3,0)*1000"
V34,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
W34,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
X34,UNCLASSIFIED,e3b0c44298fc1c149afb,0.93899414217545385,,,,
Y34,UNCLASSIFIED,e3b0c44298fc1c149afb,0,,,,
